GENERATOR,FIXED O_M,VARIABLE O_M,CAPITAL COST,LIFETIME,WACC,FIXED,START UP HEAT,FIXED COST START,NO LOAD HEAT,INCREMENTAL HEAT RATE,FIXED COST SHUT,FUEL COST
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Biomass / gas / waste derived fuel,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,5
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Coal / oil,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,2.6
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,5
Gas / oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas / oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Gas oil / kerosene,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro / pumped storage,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Light oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Light oil,42,6.31,990,30,10,147,0,142,33,11000,142,7.8686
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
OCGT,14,5.85,415,30,10,58,134,3321,137,9700,3321,7.023
Pumped storage,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Pumped storage,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Pumped storage,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Battery,10,10,500,30,1,20,30,0,0,0,10,0
