SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Sep-11,1,26032,26041,27635,27815,23333,52,1828,0,596,0,1103,1274,999,475,0,0,988,475,0,0,27815.0
01-Sep-11,2,25105,25141,26996,27103,22476,74,1828,0,596,0,1391,1550,1000,475,0,0,987,475,0,0,27103.0
01-Sep-11,3,24630,24723,26369,26596,22100,74,1836,0,596,0,1239,1405,999,408,0,0,987,408,0,0,26596.0
01-Sep-11,4,24305,24419,26094,26365,21837,71,1836,0,596,0,1289,1446,1000,407,0,0,987,407,0,0,26365.0
01-Sep-11,5,23888,23962,25684,26043,21415,71,1836,0,596,0,1296,1576,999,254,0,0,987,254,0,0,26043.0
01-Sep-11,6,23515,23622,25450,25873,21066,88,1836,0,596,0,1435,1719,1000,254,0,0,987,254,0,0,25873.0
01-Sep-11,7,23279,23345,25202,25646,20809,88,1836,0,596,0,1423,1707,999,122,0,0,987,122,0,0,25646.0
01-Sep-11,8,23390,23391,25236,25671,20877,76,1836,0,596,0,1346,1627,1000,122,0,0,987,122,0,0,25671.0
01-Sep-11,9,23224,23258,25093,25566,20712,76,1836,0,596,0,1369,1655,974,122,0,0,963,122,0,0,25566.0
01-Sep-11,10,23357,23393,25234,25705,20852,79,1836,0,596,0,1377,1659,975,122,0,0,961,122,0,0,25705.0
01-Sep-11,11,24032,24051,25488,25721,21490,79,1836,0,596,0,746,903,708,-210,0,0,700,-210,0,0,25721.0
01-Sep-11,12,24972,25025,26388,26655,22347,93,1836,0,596,0,707,863,709,-209,0,0,700,-209,0,0,26655.0
01-Sep-11,13,26814,26925,27966,28301,24034,93,1836,0,596,0,54,212,386,-598,0,0,379,-598,0,0,28301.0
01-Sep-11,14,29016,29063,30121,30389,25993,106,1836,1,596,0,8,168,404,-597,0,0,398,-597,0,0,30389.0
01-Sep-11,15,31981,32097,33073,33107,28606,106,1836,8,596,0,9,15,138,-583,0,0,132,-583,0,0,33107.0
01-Sep-11,16,34396,34529,35487,35540,30770,107,1836,14,596,0,9,15,135,-582,0,0,133,-582,0,0,35540.0
01-Sep-11,17,36313,36452,37038,37087,32573,107,1836,27,596,0,9,15,161,-216,0,0,158,-216,0,0,37087.0
01-Sep-11,18,37401,37552,38126,38189,33712,144,1836,40,596,0,9,16,160,-216,0,0,156,-216,0,0,38189.0
01-Sep-11,19,38283,38513,38793,39028,34558,144,1836,56,596,0,9,15,143,-1,0,0,139,-1,0,0,39028.0
01-Sep-11,20,38641,38849,39151,39363,34906,182,1836,72,596,0,9,14,156,-1,0,0,152,-1,0,0,39363.0
01-Sep-11,21,38792,38969,39302,39482,35017,182,1836,84,596,0,9,13,298,-1,0,0,296,-1,0,0,39482.0
01-Sep-11,22,38860,39058,39370,39570,35078,249,1836,96,596,0,9,12,298,-1,0,0,295,-1,0,0,39570.0
01-Sep-11,23,39103,39249,39612,39762,35292,249,1836,104,596,0,9,13,563,181,0,0,560,181,0,0,39762.0
01-Sep-11,24,39201,39350,39710,39865,35385,242,1836,113,596,0,9,14,564,181,0,0,558,181,0,0,39865.0
01-Sep-11,25,39238,39398,39747,39913,35424,242,1836,118,596,0,9,15,612,181,0,0,606,181,0,0,39913.0
01-Sep-11,26,38958,39113,39467,39627,35186,252,1836,123,596,0,9,15,613,181,0,0,603,181,0,0,39627.0
01-Sep-11,27,38837,39012,39344,39523,35083,252,1836,122,596,0,7,11,143,162,0,0,140,162,0,0,39523.0
01-Sep-11,28,38443,38621,38948,39130,34707,242,1836,121,596,0,5,9,142,162,0,0,142,162,0,0,39130.0
01-Sep-11,29,38283,38477,38789,38988,34591,242,1836,118,596,0,5,11,117,-1,0,0,116,-1,0,0,38988.0
01-Sep-11,30,38003,38160,38509,38669,34345,254,1836,116,596,0,5,9,119,-1,0,0,122,-1,0,0,38669.0
01-Sep-11,31,38002,38094,38508,38603,34329,254,1836,108,596,0,5,8,386,-1,0,0,382,-1,0,0,38603.0
01-Sep-11,32,38067,38221,38573,38730,34390,278,1836,101,596,0,5,9,386,-1,0,0,383,-1,0,0,38730.0
01-Sep-11,33,38301,38468,38807,38977,34524,278,1836,92,596,0,5,9,499,-1,0,0,494,-1,0,0,38977.0
01-Sep-11,34,38622,38817,39128,39323,34792,278,1836,83,596,0,5,5,499,-1,0,0,494,-1,0,0,39323.0
