SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Jul-12,1,24144,24158,25567,25578,21837,668,2065,0,1774,0,673,670,993,994,-250,0,984,994,-250,0,25578.0
01-Jul-12,2,23201,23232,24538,24567,20989,670,2065,0,1774,0,632,631,993,994,-205,0,984,994,-205,0,24567.0
01-Jul-12,3,22675,22717,24297,24341,20552,670,2085,0,1774,0,1020,1022,993,994,-102,0,984,994,-102,0,24341.0
01-Jul-12,4,22163,22217,23783,23837,20114,604,2085,0,1774,0,1018,1017,993,994,-102,0,984,994,-102,0,23837.0
01-Jul-12,5,21595,21648,23356,23408,19576,604,2085,0,1774,0,1159,1158,992,994,-102,0,984,994,-102,0,23408.0
01-Jul-12,6,21108,21165,22840,22932,19107,602,2085,0,1774,0,1130,1127,993,994,-102,0,984,994,-102,0,22932.0
01-Jul-12,7,20797,20860,22633,22699,18803,602,2085,0,1774,0,1234,1237,993,994,-102,0,984,994,-102,0,22699.0
01-Jul-12,8,20650,20730,22478,22686,18605,545,2085,0,1774,0,1226,1353,993,994,-102,0,984,994,-102,0,22686.0
01-Jul-12,9,20262,20347,22096,22429,18250,545,2085,0,1774,0,1232,1480,992,994,-102,0,984,994,-102,0,22429.0
01-Jul-12,10,19397,19494,21233,21576,17487,552,2085,0,1774,0,1234,1552,993,994,-102,0,984,994,-102,0,21576.0
01-Jul-12,11,19219,19334,21096,21461,17304,552,2085,0,1774,0,1275,1633,992,994,-102,0,984,994,-102,0,21461.0
01-Jul-12,12,19312,19424,21146,21512,17388,594,2085,33,1774,0,1245,1600,992,994,-89,0,984,994,-89,0,21512.0
01-Jul-12,13,20001,20125,21576,21807,18044,594,2085,0,1774,0,1059,1221,993,994,-16,0,984,994,-16,0,21807.0
01-Jul-12,14,20773,20908,22208,22357,18782,581,2085,120,1774,0,919,914,993,994,-16,0,984,994,-16,0,22357.0
01-Jul-12,15,21904,22026,22485,22607,19880,581,2085,188,1774,0,59,59,992,994,-22,0,984,994,-22,0,22607.0
01-Jul-12,16,23084,23204,23613,23737,20995,750,2085,256,1774,0,7,11,993,994,-22,0,984,994,-22,0,23737.0
01-Jul-12,17,24814,24966,25464,25624,22570,750,2085,322,1774,0,7,14,992,994,-143,0,984,994,-143,0,25624.0
01-Jul-12,18,26340,26461,27037,27164,23964,967,2085,388,1774,0,6,13,992,994,-191,0,984,994,-191,0,27164.0
01-Jul-12,19,28001,28089,28698,28793,25475,967,2085,422,1774,0,7,14,993,994,-190,0,984,994,-190,0,28793.0
01-Jul-12,20,29215,29336,29913,30039,26577,994,2085,456,1774,0,8,14,992,994,-190,0,984,994,-190,0,30039.0
01-Jul-12,21,30478,30559,31176,31263,27704,994,2085,491,1774,0,8,11,993,994,-190,0,984,994,-190,0,31263.0
01-Jul-12,22,31032,31146,31730,31847,28199,924,2085,526,1774,0,8,11,993,994,-190,0,984,994,-190,0,31847.0
01-Jul-12,23,31600,31685,32298,32389,28715,924,2085,529,1774,0,8,13,992,994,-190,0,984,994,-190,0,32389.0
01-Jul-12,24,31954,32039,32656,32746,29043,992,2085,533,1774,0,11,17,992,994,-191,0,984,994,-191,0,32746.0
01-Jul-12,25,32139,32225,32872,32962,29226,992,2085,545,1774,0,12,17,993,994,-221,0,984,994,-221,0,32962.0
01-Jul-12,26,32061,32155,32792,32889,29194,1024,2085,557,1774,0,8,12,993,994,-223,0,984,994,-223,0,32889.0
01-Jul-12,27,31524,31600,32255,32335,28711,1024,2085,599,1774,0,8,13,992,994,-223,0,984,994,-223,0,32335.0
01-Jul-12,28,31022,31067,31753,31802,28276,1072,2085,641,1774,0,8,14,992,994,-223,0,984,994,-223,0,31802.0
01-Jul-12,29,30574,30632,31305,31365,27840,1072,2085,594,1774,0,8,11,992,994,-223,0,984,994,-223,0,31365.0
01-Jul-12,30,30239,30361,30970,31096,27510,1054,2085,546,1774,0,8,13,993,994,-223,0,984,994,-223,0,31096.0
01-Jul-12,31,30261,30375,30991,31108,27513,1054,2085,553,1774,0,7,11,992,994,-223,0,984,994,-223,0,31108.0
01-Jul-12,32,30470,30567,31201,31300,27720,1047,2085,559,1774,0,8,11,992,994,-223,0,984,994,-223,0,31300.0
01-Jul-12,33,30731,30840,31462,31575,27925,1047,2085,533,1774,0,8,13,992,994,-223,0,984,994,-223,0,31575.0
01-Jul-12,34,31148,31272,31878,32005,28271,955,2085,508,1774,0,7,11,993,994,-223,0,984,994,-223,0,32005.0
01-Jul-12,35,31515,31591,32246,32326,28578,955,2085,468,1774,0,8,13,992,994,-223,0,984,994,-223,0,32326.0
01-Jul-12,36,31618,31691,32348,32424,28709,916,2085,428,1774,0,7,11,992,994,-223,0,984,994,-223,0,32424.0
01-Jul-12,37,31660,31686,32390,32423,28803,916,2085,358,1774,0,7,11,992,994,-223,0,984,994,-223,0,32423.0
01-Jul-12,38,31473,31491,32203,32224,28669,724,2085,288,1774,0,7,9,993,994,-223,0,984,994,-223,0,32224.0
01-Jul-12,39,31442,31451,32172,32185,28656,724,2085,226,1774,0,7,9,992,994,-223,0,984,994,-223,0,32185.0
01-Jul-12,40,31094,31079,31824,31814,28345,543,2085,164,1774,0,7,11,992,994,-223,0,984,994,-223,0,31814.0
01-Jul-12,41,30583,30569,31316,31307,27846,543,2085,114,1774,0,10,16,993,994,-223,0,984,994,-223,0,31307.0
01-Jul-12,42,30382,30409,31115,31139,27656,562,2085,65,1774,0,10,5,992,994,-223,0,984,994,-223,0,31139.0
01-Jul-12,43,30065,30059,30801,30805,27366,562,2085,36,1774,0,13,23,992,519,-223,0,984,519,-223,0,30805.0
01-Jul-12,44,30208,30234,30947,30990,27577,501,2085,7,1774,0,16,20,992,520,-223,0,984,520,-223,0,30990.0
01-Jul-12,45,30354,30354,31092,31099,27661,501,2085,0,1774,0,15,22,992,826,-223,0,984,826,-223,0,31099.0
01-Jul-12,46,28630,28634,29364,29371,25933,514,2085,0,1774,0,11,16,992,827,-223,0,984,827,-223,0,29371.0
01-Jul-12,47,26546,26555,27279,27292,23960,514,2085,0,1774,0,10,15,992,993,-223,0,984,993,-223,0,27292.0
01-Jul-12,48,24828,24835,25564,25574,22384,514,2085,0,1774,0,13,18,993,993,-223,0,984,993,-223,0,25574.0
02-Jul-12,1,23343,23455,24879,24993,21042,514,2085,0,1775,0,813,816,992,994,-223,0,984,994,-223,0,24993.0
02-Jul-12,2,22634,22742,24511,24619,20388,613,2085,0,1775,0,1154,1155,993,994,-223,0,984,994,-223,0,24619.0
02-Jul-12,3,22418,22474,24251,24307,20242,613,2085,0,1775,0,1110,1111,993,993,-223,0,984,993,-223,0,24307.0
02-Jul-12,4,22241,22297,24060,24116,20126,612,2085,0,1775,0,1096,1097,993,993,-223,0,984,993,-223,0,24116.0
02-Jul-12,5,21902,21963,23713,23775,19825,612,2085,0,1775,0,1088,1090,992,993,-223,0,984,993,-223,0,23775.0
02-Jul-12,6,21661,21726,23469,23534,19596,604,2085,0,1775,0,1085,1086,993,993,-223,0,984,993,-223,0,23534.0
02-Jul-12,7,21409,21485,23330,23409,19329,604,2085,0,1775,0,1198,1272,992,993,-223,0,984,993,-223,0,23409.0
02-Jul-12,8,21414,21461,23328,23373,19288,580,2085,0,1775,0,1191,1436,993,993,-223,0,984,993,-223,0,23373.0
02-Jul-12,9,21334,21394,23245,23305,19238,580,2085,0,1775,0,1188,1435,993,993,-223,0,984,993,-223,0,23305.0
