SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Nov-12,1,30319,30411,32300,32392,27178,443,2085,0,1977,0,1138,1139,1279,881,-243,0,1266,881,-243,0,32392.0
01-Nov-12,2,30383,30385,32366,32369,27296,247,2085,0,1977,0,1132,1134,1279,881,-251,0,1266,881,-251,0,32369.0
01-Nov-12,3,30129,30055,32190,32119,27076,247,2085,0,1977,0,1210,1214,1278,994,-251,0,1262,994,-251,0,32119.0
01-Nov-12,4,29155,29144,31191,31182,26190,266,2085,0,1977,0,1193,1196,1278,994,-243,0,1265,994,-243,0,31182.0
01-Nov-12,5,28710,28677,30743,30712,25812,266,2085,0,1977,0,1190,1192,1279,994,-243,0,1265,994,-243,0,30712.0
01-Nov-12,6,28581,28531,30609,30560,25663,292,2085,0,1977,0,1185,1187,1278,994,-243,0,1265,994,-243,0,30560.0
01-Nov-12,7,27998,27948,30022,29973,25052,292,2085,0,1977,0,1181,1184,1278,994,-243,0,1265,994,-243,0,29973.0
01-Nov-12,8,27396,27349,29410,29375,24448,251,2085,0,1977,0,1171,1184,1278,994,-243,0,1265,994,-243,0,29375.0
01-Nov-12,9,27195,27175,29168,29306,24320,251,2085,0,1977,0,1130,1262,1278,994,-243,0,1265,994,-243,0,29306.0
01-Nov-12,10,27379,27338,29366,29669,24523,139,2085,0,1977,0,1164,1510,1279,994,-223,0,1265,994,-223,0,29669.0
01-Nov-12,11,27896,27876,29700,30035,25037,139,2085,0,1977,0,1077,1432,1246,804,-127,0,1233,804,-127,0,30035.0
