SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Apr-13,1,29022,29087,30404,30593,25818,767,2113,0,2592,0,756,881,1492,1000,-126,0,1477,1000,-126,0,30593.0
01-Apr-13,2,28378,28487,29826,30175,25215,709,2113,0,2592,0,839,1079,1492,1000,-109,0,1476,1000,-109,0,30175.0
01-Apr-13,3,29449,29586,30855,31266,26345,709,2205,0,2594,0,797,1032,1492,1000,-109,0,1470,1000,-109,0,31266.0
01-Apr-13,4,30585,30780,31921,32377,27479,674,2205,0,2594,0,727,951,1492,1000,-109,0,1477,1000,-109,0,32377.0
01-Apr-13,5,30771,30936,32119,32531,27634,674,2205,0,2594,0,739,987,1492,1000,-109,0,1476,1000,-109,0,32531.0
01-Apr-13,6,30662,30808,31976,32464,27492,716,2205,0,2594,0,705,1047,1492,1000,-109,0,1477,1000,-109,0,32464.0
01-Apr-13,7,30335,30448,31883,32482,27133,716,2205,0,2594,0,939,1425,1492,1000,-109,0,1477,1000,-109,0,32482.0
01-Apr-13,8,30117,30213,31685,32256,26909,740,2205,0,2594,0,967,1434,1492,1000,-101,0,1477,1000,-101,0,32256.0
01-Apr-13,9,29743,29770,31401,32011,26588,740,2205,0,2594,0,1135,1626,1492,1000,-23,0,1477,1000,-23,0,32011.0
01-Apr-13,10,29338,29427,31217,31875,26253,689,2205,0,2594,0,1363,1838,1492,1000,-16,0,1477,1000,-16,0,31875.0
01-Apr-13,11,29187,29267,31093,31744,26115,689,2205,0,2594,0,1390,1868,1492,981,-16,0,1477,981,-16,0,31744.0
01-Apr-13,12,29199,29283,31130,31779,26092,742,2205,0,2594,0,1415,1886,1492,981,-16,0,1477,981,-16,0,31779.0
01-Apr-13,13,29934,30016,31546,32198,26703,742,2205,0,2594,0,1096,1556,1492,608,-16,0,1477,608,-16,0,32198.0
01-Apr-13,14,30219,30310,31578,32171,26938,740,2205,0,2594,0,832,1269,1492,608,-27,0,1477,608,-27,0,32171.0
01-Apr-13,15,30982,31216,31646,32198,27610,740,2205,12,2594,0,16,319,1492,372,-148,0,1476,372,-148,0,32198.0
01-Apr-13,16,32034,32135,32760,33062,28583,759,2205,42,2594,0,7,208,1491,373,-219,0,1477,373,-219,0,33062.0
01-Apr-13,17,33032,33206,33776,33956,29474,759,2205,89,2594,0,7,13,1492,259,-237,0,1477,259,-237,0,33956.0
01-Apr-13,18,33820,33990,34566,34743,30191,830,2205,208,2594,0,7,14,1492,259,-239,0,1477,259,-239,0,34743.0
01-Apr-13,19,35457,35661,36219,36429,31718,830,2205,253,2594,0,11,18,1442,613,-251,0,1427,613,-251,0,36429.0
01-Apr-13,20,36766,36958,37528,37725,32986,992,2205,412,2594,0,11,17,1440,613,-251,0,1427,613,-251,0,37725.0
01-Apr-13,21,37740,37965,38502,38731,33895,992,2205,461,2594,0,11,17,1490,1000,-251,0,1477,1000,-251,0,38731.0
01-Apr-13,22,38292,38532,39054,39297,34444,1085,2205,481,2594,0,11,14,1491,1000,-251,0,1477,1000,-251,0,39297.0
01-Apr-13,23,38793,38995,39553,39759,34872,1085,2205,460,2594,0,9,7,1491,1000,-251,0,1477,1000,-251,0,39759.0
01-Apr-13,24,38961,39146,39723,39919,35030,1085,2205,509,2594,0,11,16,1491,1000,-251,0,1477,1000,-251,0,39919.0
01-Apr-13,25,39365,39571,40127,40339,35417,1085,2205,530,2594,0,11,14,1491,1000,-251,0,1477,1000,-251,0,40339.0
01-Apr-13,26,39238,39407,40000,40174,35390,1118,2205,707,2594,0,11,14,1492,1000,-251,0,1476,1000,-251,0,40174.0
01-Apr-13,27,39022,39154,39784,39924,35240,1118,2205,771,2594,0,11,16,1492,1000,-251,0,1477,1000,-251,0,39924.0
01-Apr-13,28,38597,38727,39357,39491,34855,1132,2205,955,2594,0,9,14,1491,1000,-251,0,1477,1000,-251,0,39491.0
01-Apr-13,29,38213,38394,38974,39160,34544,1132,2205,1040,2594,0,10,16,1491,1000,-251,0,1477,1000,-251,0,39160.0
01-Apr-13,30,37897,38082,38658,38908,34255,1177,2205,1030,2594,0,10,76,1491,1000,-251,0,1477,1000,-251,0,38908.0
01-Apr-13,31,37542,37756,38303,38677,33903,1177,2205,1120,2594,0,10,171,1491,1000,-251,0,1477,1000,-251,0,38677.0
01-Apr-13,32,37302,37498,38063,38417,33723,1273,2205,1090,2594,0,10,169,1491,1000,-251,0,1477,1000,-251,0,38417.0
01-Apr-13,33,37317,37527,38078,38443,33686,1273,2205,1020,2594,0,10,166,1491,1000,-251,0,1477,1000,-251,0,38443.0
01-Apr-13,34,37801,38001,38562,38770,34101,1205,2205,1060,2594,0,10,18,1491,1000,-251,0,1477,1000,-251,0,38770.0
01-Apr-13,35,38490,38656,39253,39425,34741,1205,2205,909,2594,0,12,19,1492,1000,-251,0,1477,1000,-251,0,39425.0
01-Apr-13,36,38680,38850,39442,39619,34938,1221,2205,702,2594,0,11,19,1491,1000,-251,0,1477,1000,-251,0,39619.0
01-Apr-13,37,38876,38994,39638,39764,35189,1221,2205,450,2594,0,11,17,1492,1000,-251,0,1477,1000,-251,0,39764.0
01-Apr-13,38,38887,39048,39650,39819,35157,1075,2205,243,2594,0,12,19,1491,1000,-251,0,1477,1000,-251,0,39819.0
01-Apr-13,39,39092,39263,39856,40035,35398,1075,2205,53,2594,0,13,21,1491,1000,-251,0,1477,1000,-251,0,40035.0
01-Apr-13,40,40020,40276,40793,41060,36238,960,2205,0,2594,0,22,30,1492,1000,-251,0,1477,1000,-251,0,41060.0
01-Apr-13,41,41518,41735,42282,42499,37487,960,2205,0,2594,0,13,12,1491,1000,-251,0,1477,1000,-251,0,42499.0
01-Apr-13,42,40817,40993,41585,41761,36829,705,2205,0,2594,0,17,15,1491,1000,-251,0,1477,1000,-251,0,41761.0
01-Apr-13,43,40021,40022,40787,40797,36087,705,2205,0,2594,0,15,23,1492,943,-251,0,1477,943,-251,0,40797.0
01-Apr-13,44,38056,38101,38822,38876,34336,706,2205,0,2594,0,15,25,1491,949,-251,0,1477,949,-251,0,38876.0
01-Apr-13,45,36526,36573,37292,37352,32991,706,2205,0,2594,0,15,28,1491,371,-251,0,1477,371,-251,0,37352.0
01-Apr-13,46,34721,34750,35431,35623,31297,594,2205,0,2594,0,14,178,1495,370,-196,0,1477,370,-196,0,35623.0
01-Apr-13,47,32440,32400,33255,33440,29080,594,2205,0,2594,0,175,400,1103,715,-140,0,1083,715,-140,0,33440.0
01-Apr-13,48,30708,30624,32009,32250,27382,594,2205,0,2594,0,694,1020,1092,717,-107,0,1083,717,-107,0,32250.0
02-Apr-13,1,29093,29131,30810,31162,25896,594,2205,0,2594,0,1110,1425,957,307,-107,0,942,307,-107,0,31162.0
02-Apr-13,2,28508,28458,30232,30488,25363,699,2205,0,2594,0,1117,1423,948,307,-107,0,942,307,-107,0,30488.0
02-Apr-13,3,29490,29500,31150,31373,26404,699,2205,0,2597,0,1053,1357,1102,644,-107,0,1094,644,-107,0,31373.0
02-Apr-13,4,30818,30826,32381,32683,27721,631,2205,0,2597,0,956,1250,1098,645,-107,0,1094,645,-107,0,32683.0
02-Apr-13,5,31037,31033,32686,32998,27890,631,2205,0,2597,0,1042,1357,1482,698,-107,0,1476,698,-107,0,32998.0
02-Apr-13,6,31039,31028,32424,32710,27862,634,2205,0,2597,0,778,1075,1490,698,-107,0,1476,698,-107,0,32710.0
02-Apr-13,7,30865,30873,32886,33217,27645,634,2205,0,2597,0,1414,1737,1491,648,-107,0,1477,648,-107,0,33217.0
02-Apr-13,8,31120,30912,33182,33191,27678,608,2205,0,2597,0,1455,1672,1486,647,-107,0,1461,647,-107,0,33191.0
02-Apr-13,9,30599,30593,32566,32759,27413,608,2205,0,2597,0,1360,1523,1137,495,-107,0,1127,495,-107,0,32759.0
02-Apr-13,10,30487,30473,32562,32699,27336,544,2205,0,2597,0,1468,1619,1103,494,-107,0,1054,494,-107,0,32699.0
02-Apr-13,11,30747,30812,32993,33203,27600,544,2205,0,2597,0,891,897,-760,1001,-95,0,-797,1001,-95,0,33203.0
02-Apr-13,12,31570,31660,33687,33781,28344,491,2205,0,2597,0,649,628,-894,839,-74,0,-877,839,-74,0,33781.0
