SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Mar-13,1,33433,33229,35810,35782,30210,473,2113,0,2521,0,1030,1198,-366,842,-196,-185,-362,842,-196,-185,35782.0
01-Mar-13,2,33602,33430,36024,36023,30420,478,2113,0,2521,0,1125,1281,-360,842,-152,-185,-362,842,-152,-185,36023.0
01-Mar-13,3,33356,33206,36162,36190,30213,478,2113,0,2521,0,1120,1276,-821,1001,-80,-185,-823,1001,-80,-185,36190.0
01-Mar-13,4,32745,32536,35545,35502,29670,347,2113,0,2521,0,1114,1272,-834,1001,-80,-172,-823,1001,-80,-172,35502.0
01-Mar-13,5,32327,32087,34983,34903,29316,347,2113,0,2521,0,1115,1274,-741,448,-80,-120,-727,448,-80,-120,34903.0
01-Mar-13,6,32283,32135,35145,35167,29239,328,2113,0,2521,0,1326,1492,-736,448,-80,-120,-727,448,-80,-120,35167.0
01-Mar-13,7,31869,31680,34636,34603,28780,328,2113,0,2521,0,1439,1599,-528,268,-80,-120,-513,268,-80,-120,34603.0
01-Mar-13,8,31251,31026,34043,34206,28164,253,2113,0,2521,0,1433,1836,-508,268,-94,-157,-513,268,-94,-157,34206.0
01-Mar-13,9,30698,30515,34123,34508,27684,253,2113,0,2521,0,1355,1895,-1270,467,-80,-120,-1272,467,-80,-120,34508.0
01-Mar-13,10,30717,30588,34255,34783,27730,273,2113,0,2521,0,1411,2078,-1291,467,-80,-156,-1272,467,-80,-156,34783.0
01-Mar-13,11,31086,30988,34355,34906,28088,273,2113,0,2521,0,1180,1838,-1289,266,-80,-120,-1272,266,-80,-120,34906.0
01-Mar-13,12,32101,32055,35133,35390,29002,274,2113,0,2521,0,986,1364,-1296,266,-76,-74,-1272,266,-76,-74,35390.0
01-Mar-13,13,35477,35223,37070,36771,31837,274,2113,0,2521,0,107,153,-886,158,24,35,-868,158,24,35,36771.0
01-Mar-13,14,38445,38274,39926,39768,34580,388,2113,0,2521,0,10,19,-871,158,7,12,-864,158,7,12,39768.0
01-Mar-13,15,41574,41518,43402,43353,37462,388,2113,10,2521,0,10,15,-1000,507,-107,-111,-998,507,-107,-111,43353.0
01-Mar-13,16,43151,43242,45006,45095,39091,292,2113,20,2521,0,9,13,-1008,507,-111,-127,-999,507,-111,-127,45095.0
01-Mar-13,17,44304,44407,46121,46230,40197,292,2113,56,2521,0,8,16,-917,894,-121,-171,-912,894,-121,-171,46230.0
01-Mar-13,18,44729,44771,46578,46604,40642,291,2113,92,2521,0,8,14,-938,894,-121,-182,-913,894,-121,-182,46604.0
01-Mar-13,19,45562,45493,47197,46647,41456,291,2113,142,2521,0,12,17,-596,633,-194,-233,-601,633,-194,-233,46647.0
01-Mar-13,20,45671,45539,47370,46758,41566,429,2113,192,2521,0,12,20,-599,633,-241,-247,-578,633,-241,-247,46758.0
01-Mar-13,21,45684,45577,47453,46946,41545,429,2113,247,2521,0,12,20,-656,626,-251,-250,-675,626,-251,-250,46946.0
01-Mar-13,22,45654,45612,47482,46976,41539,495,2113,302,2521,0,11,12,-716,626,-251,-250,-690,626,-251,-250,46976.0
01-Mar-13,23,45844,45815,46952,46929,41711,495,2113,324,2521,0,7,13,12,733,-251,-250,22,733,-251,-250,46929.0
01-Mar-13,24,45941,45910,47050,47029,41785,424,2113,345,2521,0,8,13,31,733,-251,-250,22,733,-251,-250,47029.0
01-Mar-13,25,46045,45925,47350,47252,41907,424,2113,323,2521,0,8,13,-196,804,-251,-250,-194,804,-251,-250,47252.0
01-Mar-13,26,45621,45529,46926,46855,41479,427,2113,301,2521,0,8,18,-196,804,-251,-250,-194,804,-251,-250,46855.0
01-Mar-13,27,45303,45192,47236,47166,41196,427,2113,287,2521,0,8,16,-824,867,-251,-250,-846,867,-251,-250,47166.0
01-Mar-13,28,45201,45065,47165,47036,41147,397,2113,272,2521,0,7,12,-856,867,-251,-250,-847,867,-251,-250,47036.0
01-Mar-13,29,45096,44900,47056,46871,41120,397,2113,256,2521,0,7,13,-852,1001,-251,-250,-846,1001,-251,-250,46871.0
01-Mar-13,30,44704,44512,46666,46557,40778,478,2113,239,2521,0,8,87,-853,1001,-251,-250,-846,1001,-251,-250,46557.0
01-Mar-13,31,44307,44113,46219,46194,40403,478,2113,207,2521,0,7,165,-804,532,-251,-250,-799,532,-251,-250,46194.0
01-Mar-13,32,44691,44512,46601,46585,40845,348,2113,176,2521,0,6,160,-803,531,-251,-250,-799,531,-251,-250,46585.0
01-Mar-13,33,45150,45101,47132,47111,41251,348,2113,135,2521,0,7,13,-874,532,-251,-250,-871,532,-251,-250,47111.0
