SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Feb-15,1,29811,29705,30822,30685,27327,2554,4074,0,6162,0,102,102,1897,937,-112,-197,1868,937,-112,-197,30685.0
01-Feb-15,2,29976,29901,30967,30870,27643,2561,4074,0,6162,0,82,82,1897,960,-112,-197,1876,960,-112,-197,30870.0
01-Feb-15,3,29566,29447,30705,30587,27309,2561,4074,0,6162,0,230,230,1897,965,-112,-197,1876,965,-112,-197,30587.0
01-Feb-15,4,28638,28488,30074,29940,26483,2578,4074,0,6162,0,527,541,1897,951,-112,-197,1876,951,-112,-197,29940.0
01-Feb-15,5,27937,27832,29893,29809,25886,2578,4074,0,6162,0,1047,1099,1897,952,-112,-197,1876,952,-112,-197,29809.0
01-Feb-15,6,27801,27693,29887,29732,25720,2576,4074,0,6162,0,1177,1397,1897,951,-112,-197,1876,951,-112,-197,29732.0
01-Feb-15,7,27326,27213,29530,29380,25167,2576,4074,0,6162,0,1295,1723,1897,951,-112,-197,1876,951,-112,-197,29380.0
01-Feb-15,8,26671,26567,29177,29066,24445,2531,4074,0,6162,0,1597,2119,1897,952,-112,-197,1876,952,-112,-197,29066.0
01-Feb-15,9,26233,26137,28917,28823,24040,2531,4074,0,6162,0,1775,2288,1898,951,-112,-197,1876,951,-112,-197,28823.0
01-Feb-15,10,25889,25824,28567,28504,23686,2455,4074,0,6162,0,1769,2283,1897,952,-112,-197,1876,952,-112,-197,28504.0
01-Feb-15,11,25815,25740,28474,28400,23603,2455,4074,0,6162,0,1750,2263,1898,951,-112,-197,1876,951,-112,-197,28400.0
01-Feb-15,12,25934,25876,28526,28566,23685,2418,4074,0,6162,0,1743,2259,1897,952,-108,-141,1876,952,-108,-141,28566.0
01-Feb-15,13,26663,26633,29104,29197,24389,2418,4074,0,6162,0,1717,2227,1899,951,-57,-67,1876,951,-57,-67,29197.0
01-Feb-15,14,27253,27245,29432,29533,24931,2302,4074,0,6162,0,1457,1812,1898,952,-55,-67,1876,952,-55,-67,29533.0
01-Feb-15,15,28286,28253,29313,29605,25792,2302,4074,0,6162,0,227,552,1898,951,-88,-112,1876,951,-88,-112,29605.0
01-Feb-15,16,28891,28765,29714,29884,26245,2206,4074,27,6162,0,8,302,1895,951,-92,-123,1876,951,-92,-123,29884.0
01-Feb-15,17,30667,30566,31441,31344,27824,2206,4074,80,6162,0,6,6,1995,1000,-65,-103,1974,1000,-65,-103,31344.0
01-Feb-15,18,32850,32776,33648,33579,29824,2130,4074,257,6162,0,6,11,1996,1003,-62,-130,1974,1003,-62,-130,33579.0
01-Feb-15,19,34795,34725,35516,35449,31577,2130,4074,523,6162,0,9,10,1996,1017,-1,-111,1974,1017,-1,-111,35449.0
01-Feb-15,20,36295,36169,37201,37081,32948,2099,4074,855,6162,0,8,8,1997,999,-66,-232,1973,999,-66,-232,37081.0
01-Feb-15,21,37506,37386,38540,38423,33989,2099,4074,1260,6162,0,11,10,1997,1014,-127,-296,1974,1014,-127,-296,38423.0
01-Feb-15,22,38014,37851,38975,38815,34483,2120,4074,1560,6162,0,13,16,1997,1022,-68,-280,1974,1022,-68,-280,38815.0
01-Feb-15,23,38577,38409,39633,39467,34969,2120,4074,1660,6162,0,13,13,1996,1015,-90,-353,1974,1015,-90,-353,39467.0
01-Feb-15,24,38994,38806,40024,39842,35323,2112,4074,1660,6162,0,13,17,1996,987,-100,-317,1974,987,-100,-317,39842.0
01-Feb-15,25,39440,39231,40534,40329,35783,2112,4074,1680,6162,0,14,12,1997,1022,-104,-376,1974,1022,-104,-376,40329.0
01-Feb-15,26,39492,39286,40682,40480,35805,2023,4074,1770,6162,0,15,16,1997,994,-135,-440,1974,994,-135,-440,40480.0
01-Feb-15,27,39253,39006,40455,40210,35591,2023,4074,1660,6162,0,13,13,1996,970,-149,-440,1973,970,-149,-440,40210.0
01-Feb-15,28,38891,38644,40113,39868,35343,1862,4074,1600,6162,0,12,13,1996,994,-171,-439,1974,994,-171,-439,39868.0
01-Feb-15,29,38981,38750,40262,40032,35467,1862,4074,1390,6162,0,12,13,1996,982,-229,-440,1974,982,-229,-440,40032.0
01-Feb-15,30,38965,38743,40246,40026,35484,1653,4074,1140,6162,0,12,13,1996,992,-229,-440,1974,992,-229,-440,40026.0
01-Feb-15,31,39366,39196,40669,40502,35846,1653,4074,912,6162,0,12,12,1996,1001,-229,-462,1974,1001,-229,-462,40502.0
01-Feb-15,32,40072,39954,41338,41220,36501,1466,4074,574,6162,0,10,8,1996,1019,-192,-464,1974,1019,-192,-464,41220.0
01-Feb-15,33,41385,41123,42551,42293,37703,1466,4074,221,6162,0,12,15,1996,1015,-127,-427,1974,1015,-127,-427,42293.0
01-Feb-15,34,43155,43135,44329,44310,39269,1327,4074,61,6162,53,10,7,1997,1021,-117,-447,1974,1021,-117,-447,44310.0
01-Feb-15,35,46156,46107,47369,47320,41930,1327,4074,0,6162,225,12,10,1996,975,-153,-448,1974,975,-153,-448,47320.0
01-Feb-15,36,47004,46880,48286,48166,42695,1235,4074,0,6162,165,13,15,1997,981,-222,-447,1974,981,-222,-447,48166.0
01-Feb-15,37,46889,46748,48150,48011,42669,1235,4074,0,6162,0,13,14,1996,987,-200,-448,1974,987,-200,-448,48011.0
01-Feb-15,38,45897,45724,47134,46963,41700,1163,4074,0,6162,0,12,10,1996,1007,-178,-447,1974,1007,-178,-447,46963.0
