SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-May-15,1,25790,25561,27131,26894,23303,510,3903,0,8520,0,841,874,1997,992,131,72,1971,992,131,72,26894.0
01-May-15,2,25043,24828,26935,26721,22638,533,3903,0,8520,0,1392,1394,1998,1000,131,80,1971,1000,131,80,26721.0
01-May-15,3,25072,24894,26965,26788,22733,531,3903,0,8524,0,1393,1394,1997,1000,131,80,1971,1000,131,80,26788.0
01-May-15,4,25526,25333,27401,27151,23209,528,3903,0,8524,0,1375,1378,1997,1000,131,80,1971,1000,131,80,27151.0
01-May-15,5,25435,25179,27441,27147,23069,537,3903,0,8524,0,1506,1510,1997,1000,119,80,1971,1000,119,80,27147.0
01-May-15,6,25092,24795,27101,26805,22690,546,3903,0,8524,0,1509,1510,1997,1000,71,80,1971,1000,71,80,26805.0
01-May-15,7,24676,24440,26674,26438,22259,539,3903,0,8524,0,1498,1499,1997,614,71,34,1971,614,71,34,26438.0
01-May-15,8,24569,24365,26555,26352,22162,532,3903,0,8524,0,1486,1487,1997,613,71,26,1971,613,71,26,26352.0
01-May-15,9,24351,24164,26341,26156,21939,524,3903,0,8524,0,1490,1492,1998,613,71,26,1971,613,71,26,26156.0
01-May-15,10,24455,24290,26431,26267,22026,515,3903,0,8524,0,1476,1477,1997,612,71,26,1971,612,71,26,26267.0
01-May-15,11,24816,24665,26640,26464,22348,520,3903,0,8524,0,1324,1322,1997,1000,71,31,1971,1000,71,31,26464.0
01-May-15,12,25456,25347,27122,26999,22935,525,3903,60,8524,0,1166,1138,1998,1014,72,141,1971,1014,72,141,26999.0
01-May-15,13,28117,28096,28892,28852,25359,538,3903,235,8524,0,275,256,1997,979,156,271,1971,979,156,271,28852.0
01-May-15,14,31095,31093,31609,31605,28063,550,3903,513,8524,0,14,12,1998,1006,198,287,1971,1006,198,287,31605.0
01-May-15,15,34569,34590,35076,35096,31218,567,3903,884,8524,0,7,6,1997,1019,123,196,1971,1019,123,196,35096.0
01-May-15,16,36482,36445,37013,36977,32977,584,3903,1390,8524,0,8,6,1997,1022,-23,47,1963,1022,-23,47,36977.0
01-May-15,17,37270,37133,37976,37841,33693,625,3903,1860,8524,0,13,12,1998,1012,-91,-102,1971,1012,-91,-102,37841.0
01-May-15,18,36803,36627,37640,37470,33259,666,3903,2410,8524,0,14,17,1998,1005,-108,-215,1971,1005,-108,-215,37470.0
01-May-15,19,36826,36690,37548,37416,33291,683,3903,2890,8524,0,14,17,1997,1016,-18,-190,1971,1016,-18,-190,37416.0
01-May-15,20,36507,36340,37211,37048,33001,700,3903,3440,8524,0,14,17,1998,1007,65,-190,1971,1007,65,-190,37048.0
01-May-15,21,36090,35908,36783,36604,32586,703,3903,3780,8524,0,15,17,1998,993,107,-178,1971,993,107,-178,36604.0
01-May-15,22,35965,35783,36634,36454,32452,706,3903,4000,8524,0,12,10,1997,1009,89,-157,1971,1009,89,-157,36454.0
01-May-15,23,35717,35543,36538,36369,32198,711,3903,4190,8524,0,10,12,1998,1011,-48,-263,1971,1011,-48,-263,36369.0
01-May-15,24,35557,35385,36611,36442,32037,715,3903,4550,8524,0,11,13,1998,1016,-131,-412,1971,1016,-131,-412,36442.0
01-May-15,25,35488,35304,36678,36500,31984,713,3903,4670,8524,0,10,13,1998,990,-203,-477,1971,990,-203,-477,36500.0
01-May-15,26,35006,34800,36168,35968,31581,711,3903,4640,8524,0,10,13,1998,998,-189,-463,1971,998,-189,-463,35968.0
01-May-15,27,34513,34322,35632,35445,31109,706,3903,4610,8524,0,10,11,1998,1005,-172,-437,1971,1005,-172,-437,35445.0
01-May-15,28,34208,34021,35235,35050,30846,700,3903,4460,8524,0,11,12,1998,1000,-117,-399,1971,1000,-117,-399,35050.0
01-May-15,29,34092,33889,35051,34851,30769,684,3903,4230,8524,0,8,8,1998,985,-76,-375,1972,985,-76,-375,34851.0
01-May-15,30,33793,33605,34713,34528,30495,667,3903,3840,8524,0,6,7,1998,1021,-28,-386,1971,1021,-28,-386,34528.0
