SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Aug-16,1,21577,21264,22449,22170,19489,630,4253,0,10500,0,372,592,1424,853,0,381,1387,855,0,381,
01-Aug-16,2,20821,20550,21871,21752,18807,612,4253,0,10500,0,550,1050,1404,853,0,381,1389,855,0,381,
01-Aug-16,3,20417,20175,21973,21852,18454,602,4253,0,10500,0,1056,1727,1406,853,0,381,1385,855,0,381,
01-Aug-16,4,20235,19962,21926,21781,18323,592,4253,0,10500,0,1191,1859,1406,854,0,381,1389,855,0,381,
01-Aug-16,5,19949,19648,21705,21422,18043,585,4253,0,10500,0,1256,1921,1405,853,0,380,1389,854,0,380,
01-Aug-16,6,19766,19381,21620,21186,17863,578,4253,0,10500,0,1354,2034,1405,854,0,380,1388,855,0,381,
01-Aug-16,7,19557,19256,21779,21493,17654,567,4253,0,10500,0,1722,2399,1405,854,0,381,1389,855,0,381,
01-Aug-16,8,19520,19246,21745,21454,17595,555,4253,0,10500,0,1725,2369,1404,853,0,380,1389,855,0,381,
01-Aug-16,9,19623,19365,21826,21586,17688,548,4253,0,10500,0,1703,2384,1405,853,0,380,1389,855,0,381,
01-Aug-16,10,19702,19485,21936,21719,17756,540,4253,0,10500,0,1734,2393,1391,854,0,381,1390,854,0,381,
01-Aug-16,11,19988,19803,22131,21930,18040,518,4253,3,10500,0,1643,2284,1696,853,0,380,1681,855,0,381,
01-Aug-16,12,20695,20493,22217,22029,18685,495,4253,122,10500,0,1022,1597,1688,853,0,381,1682,859,0,381,
01-Aug-16,13,22912,22743,23550,23364,20721,473,4253,327,10500,0,138,480,1988,994,0,381,1974,1000,0,381,
01-Aug-16,14,24899,24672,25411,25186,22527,450,4253,610,10500,0,12,126,1996,999,0,381,1973,1000,0,381,
01-Aug-16,15,27259,27089,27769,27603,24647,436,4253,956,10500,0,10,14,1997,999,0,381,1973,1000,0,381,
01-Aug-16,16,28686,28696,29196,29209,25944,422,4253,1330,10500,0,10,14,1996,1000,0,381,1973,1000,0,381,
01-Aug-16,17,30118,30160,30628,30674,27219,426,4253,1790,10500,0,10,13,1997,1000,0,381,1973,1000,0,381,
01-Aug-16,18,30956,30901,31466,31414,27973,429,4253,2110,10500,0,10,13,1997,999,0,381,1973,1000,0,381,
01-Aug-16,19,31580,31507,32090,32021,28539,439,4253,2410,10500,0,10,14,1998,998,0,374,1973,1000,0,370,
01-Aug-16,20,31772,31698,32282,32212,28704,449,4253,2610,10500,0,10,13,1997,999,0,275,1973,1000,0,266,
01-Aug-16,21,31849,31742,32357,32253,28753,465,4253,2750,10500,0,8,11,1998,1000,0,150,1973,1000,0,144,
01-Aug-16,22,31954,31856,32460,32367,28834,481,4253,2950,10500,0,6,10,1997,999,0,55,1973,1000,0,49,
01-Aug-16,23,32044,31970,32579,32507,28902,486,4253,2980,10500,0,6,8,1997,1000,0,-29,1973,1000,0,-30,
01-Aug-16,24,32046,32062,32622,32641,28894,490,4253,3060,10500,0,6,10,1997,1000,0,-70,1973,1000,0,-72,
01-Aug-16,25,32367,32251,32936,32829,29208,503,4253,3060,10500,0,6,8,1997,1000,0,-63,1973,1000,0,-70,
01-Aug-16,26,32307,32190,33006,32890,29162,515,4253,2960,10500,0,7,8,1997,998,0,-192,1973,999,0,-193,
01-Aug-16,27,32220,32093,32850,32714,29103,529,4253,2810,10500,0,9,8,1998,999,0,-121,1973,1000,0,-115,
01-Aug-16,28,32178,32069,32756,32646,29089,543,4253,2610,10500,0,7,8,1997,999,0,-71,1973,999,0,-69,
01-Aug-16,29,32168,31979,32736,32548,29046,577,4253,2360,10500,0,10,13,1997,1000,0,-58,1973,1000,0,-57,
01-Aug-16,30,32165,31970,32682,32484,29048,610,4253,2160,10500,0,7,11,1997,999,0,-10,1973,999,0,-5,
01-Aug-16,31,32259,32168,32765,32676,29172,635,4253,2030,10500,0,6,8,1997,1000,0,14,1973,1000,0,15,
01-Aug-16,32,32502,32468,33008,32978,29413,660,4253,1860,10500,0,6,9,1997,999,0,1,1973,999,0,3,
01-Aug-16,33,33075,33059,33582,33567,29939,664,4253,1640,10500,0,7,8,1997,1000,0,43,1973,1000,0,47,
01-Aug-16,34,33842,33906,34347,34414,30629,667,4253,1290,10500,0,5,7,1997,999,0,126,1973,1000,0,128,
01-Aug-16,35,34348,34482,34853,34991,31189,666,4253,1040,10500,0,5,7,1997,999,0,56,1973,1000,0,49,
01-Aug-16,36,34701,34727,35253,35280,31486,665,4253,846,10500,0,4,6,1997,999,0,-48,1973,1000,0,-49,
01-Aug-16,37,34676,34679,35182,35185,31518,668,4253,593,10500,0,6,6,1998,999,0,80,1973,1000,0,94,
01-Aug-16,38,34431,34414,34936,34924,31305,670,4253,398,10500,0,5,8,1997,999,0,221,1973,1000,0,227,
01-Aug-16,39,34071,34044,34579,34551,30985,658,4253,283,10500,0,8,6,1997,999,0,317,1973,1000,0,324,
01-Aug-16,40,33361,33330,33871,33845,30315,645,4253,171,10500,0,10,8,1997,999,0,343,1973,1000,0,336,
01-Aug-16,41,32833,32802,33340,33309,29799,631,4253,72,10500,0,7,6,1997,1000,0,218,1973,1000,0,217,
01-Aug-16,42,32236,32337,32747,32848,29266,617,4253,8,10500,0,11,7,1997,1000,0,268,1973,1000,0,272,
01-Aug-16,43,32150,32202,32660,32709,29173,600,4253,0,10500,0,10,7,1997,1000,0,356,1973,1000,0,362,
01-Aug-16,44,31243,31168,31753,31681,28267,582,4253,0,10500,0,10,13,1997,1000,0,353,1973,1000,0,345,
01-Aug-16,45,29794,29627,30304,30141,26851,582,4253,0,10500,0,10,14,1996,1000,0,232,1973,1000,0,232,
01-Aug-16,46,27815,27681,28330,28198,25009,581,4253,0,10500,0,15,17,1996,1000,0,333,1973,1000,0,343,
01-Aug-16,47,25732,25640,26253,26166,23121,580,4253,0,10500,0,21,25,1903,955,0,381,1875,953,0,380,
01-Aug-16,48,24178,24099,25321,25306,21719,578,4253,0,10500,0,643,707,1896,951,0,380,1875,952,0,381,
02-Aug-16,1,22790,22747,24816,24827,20439,613,4253,0,10500,0,1526,1723,1895,950,0,381,1875,952,0,380,
02-Aug-16,2,21959,21972,24189,24202,19689,648,4253,0,10500,0,1730,1885,1895,951,0,381,1875,952,0,381,
02-Aug-16,3,21407,21437,23627,23657,19217,652,4253,0,10500,0,1720,1874,1437,951,0,380,1379,952,0,381,
02-Aug-16,4,21157,21193,23364,23402,19018,656,4253,0,10500,0,1707,1864,1401,951,0,381,1388,950,0,380,
02-Aug-16,5,20746,20786,22935,22978,18636,663,4253,0,10500,0,1689,1845,809,727,0,380,752,713,0,381,
