SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Dec-16,1,30162,29865,32886,32990,27967,1232,5113,0,11503,0,1102,1518,-1022,1000,297,0,-1008,1000,297,-4,
01-Dec-16,2,30440,30190,33606,33734,28339,1233,5113,0,11503,0,1545,1933,-1021,999,298,0,-1008,1000,297,-4,
01-Dec-16,3,30117,29799,33223,33411,28073,1222,5113,0,11503,0,1485,2001,-1021,1000,298,0,-1008,1000,297,-4,
01-Dec-16,4,29580,29243,32894,33070,27611,1211,5113,0,11503,0,1693,2215,-1021,999,298,0,-1008,1000,297,-4,
01-Dec-16,5,29079,28751,32445,32624,27187,1210,5113,0,11503,0,1744,2262,-1022,999,298,0,-1008,1000,297,-4,
01-Dec-16,6,28999,28689,32221,32416,27109,1209,5113,0,11503,0,1606,2115,-1016,999,297,0,-1004,1000,297,-4,
01-Dec-16,7,28620,28296,32023,32212,26679,1202,5113,0,11503,0,1781,2304,-1022,1000,297,0,-1008,1000,297,-4,
01-Dec-16,8,28189,27841,31622,31769,26273,1195,5113,0,11503,0,1811,2316,-1022,1000,297,0,-1008,1000,297,-4,
01-Dec-16,9,27855,27557,31292,31443,25987,1201,5113,0,11503,0,1815,2337,-1022,999,297,0,-1008,1000,297,-4,
01-Dec-16,10,28027,27730,31408,31597,26176,1206,5113,0,11503,0,1760,2256,-1021,999,297,0,-1008,1000,297,-4,
01-Dec-16,11,28721,28478,32003,31908,26841,1203,5113,0,11503,0,1660,1818,-1022,999,297,0,-1008,1000,297,-4,
01-Dec-16,12,30179,29973,33071,32978,28157,1199,5113,0,11503,0,1271,1394,-1021,1000,297,0,-1008,1000,297,-4,
01-Dec-16,13,33696,33538,35491,35463,31376,1180,5113,0,11503,0,174,303,-1021,999,297,0,-1008,1000,297,-5,
01-Dec-16,14,37387,37166,39018,38938,34748,1161,5113,0,11503,0,10,160,-1021,999,298,0,-1008,1000,297,-5,
01-Dec-16,15,41707,41482,43336,43104,38663,1163,5113,0,11503,0,8,8,-1021,639,230,0,-1008,625,223,-4,
01-Dec-16,16,43420,43115,45051,44736,40159,1164,5113,27,11503,0,9,8,-1022,599,77,0,-1008,598,75,-5,
01-Dec-16,17,44222,43891,45386,45037,40847,1161,5113,257,11503,0,10,12,-523,617,-31,0,-502,617,-30,-5,
01-Dec-16,18,43801,43441,44919,44560,40493,1158,5113,756,11503,0,10,13,-508,632,26,0,-503,641,26,-5,
01-Dec-16,19,44156,43698,45427,44965,40708,1159,5113,1380,11503,0,9,12,-510,997,-152,0,-504,1000,-155,-5,
01-Dec-16,20,43847,43413,45146,44708,40463,1160,5113,2000,11503,0,10,14,-511,1000,-178,0,-504,999,-175,-5,
01-Dec-16,21,43169,42753,44602,44190,39788,1152,5113,2530,11503,0,10,14,-510,406,-313,0,-504,387,-318,-5,
01-Dec-16,22,42694,42244,44223,43768,39325,1143,5113,2840,11503,0,10,14,-510,370,-409,0,-504,385,-408,-5,
01-Dec-16,23,42293,41878,43842,43422,38952,1129,5113,3090,11503,0,11,14,-510,995,-428,0,-504,999,-427,-5,
01-Dec-16,24,41869,41504,43419,43045,38507,1115,5113,3260,11503,0,10,12,-511,999,-429,0,-505,1000,-427,-5,
01-Dec-16,25,41834,41473,43358,42993,38481,1119,5113,3270,11503,0,10,14,-510,1000,-404,0,-504,1000,-402,-5,
01-Dec-16,26,41596,41201,43118,42718,38224,1122,5113,3210,11503,0,8,11,-510,1000,-404,0,-504,1000,-402,-5,
01-Dec-16,27,41645,41264,43157,42768,38272,1109,5113,2810,11503,0,6,8,-510,999,-396,0,-504,1000,-393,-5,
01-Dec-16,28,41798,41424,43227,42845,38473,1095,5113,2320,11503,0,7,10,-510,999,-312,0,-504,1000,-307,-5,
01-Dec-16,29,42312,41915,43693,43289,38977,1087,5113,1730,11503,0,7,8,-510,999,-264,0,-504,1000,-261,-5,
01-Dec-16,30,42670,42296,44023,43640,39315,1079,5113,1090,11503,0,7,10,-510,1000,-236,0,-504,1000,-229,-5,
01-Dec-16,31,43270,42919,44479,44121,39807,1060,5113,544,11503,0,6,10,-513,999,-90,0,-504,1000,-87,-5,
01-Dec-16,32,44802,44458,45935,45574,41201,1041,5113,190,11503,0,6,10,-511,1000,-16,0,-504,1000,-15,-5,
01-Dec-16,33,46860,46642,47468,47251,42948,1014,5113,0,11503,0,8,8,107,995,141,0,127,996,145,-5,
01-Dec-16,34,48533,48249,49147,48863,44402,986,5113,0,11503,0,14,15,129,993,192,0,124,994,191,-5,
01-Dec-16,35,48706,48431,49327,49053,44524,953,5113,0,11503,0,11,14,-10,1007,148,0,-6,1008,146,-5,
01-Dec-16,36,48622,48298,49237,48915,44472,919,5113,0,11503,0,6,8,-9,1000,8,0,-7,1000,2,-5,
01-Dec-16,37,48521,48229,49364,49081,44451,896,5113,0,11503,0,8,4,-27,1018,-208,0,-22,1020,-212,-5,
01-Dec-16,38,48175,47837,49068,48746,44086,872,5113,0,11503,0,11,9,-7,984,-275,0,-25,986,-273,-5,
01-Dec-16,39,47739,47316,49320,48893,43752,842,5113,0,11503,0,13,8,-693,1011,-275,0,-684,1013,-273,-5,
