SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Jan-16,1,27700,27664,28414,28299,25315,1294,4013,0,9063,0,114,106,1756,870,31,105,1740,872,25,103,
01-Jan-16,2,28379,28278,29007,28904,26025,1230,4013,0,9063,0,28,26,1755,881,19,27,1740,883,25,26,
01-Jan-16,3,28155,27986,29063,29097,25804,1148,4013,0,9063,0,308,323,1755,871,76,36,1740,875,76,36,
01-Jan-16,4,27147,26961,28326,28149,24867,1065,4013,0,9063,0,572,572,1756,887,-7,65,1740,888,-14,65,
01-Jan-16,5,26154,26006,27348,27283,23993,1004,4013,0,9063,0,493,493,1756,880,-101,20,1740,883,-100,20,
01-Jan-16,6,25635,25463,26737,26723,23441,943,4013,0,9063,0,439,447,1756,867,-63,4,1740,867,-63,1,
01-Jan-16,7,24824,24648,26588,27002,22631,896,4013,0,9063,0,992,1238,1756,866,-100,-72,1740,868,-100,-73,
01-Jan-16,8,23915,23744,26223,26290,21763,849,4013,0,9063,0,1535,1772,1756,882,-100,-73,1740,884,-100,-73,
01-Jan-16,9,23364,23157,25666,25818,21270,845,4013,0,9063,0,1529,1887,1756,886,-100,-73,1740,886,-100,-73,
01-Jan-16,10,22922,22756,25182,25377,20880,840,4013,0,9063,0,1526,1885,1756,872,-100,-34,1740,874,-100,-32,
01-Jan-16,11,22854,22644,25038,24974,20809,850,4013,0,9063,0,1521,1652,1756,864,-60,-3,1740,864,-59,0,
01-Jan-16,12,22774,22720,25173,25235,20721,859,4013,0,9063,0,1709,1826,1756,869,-90,60,1740,870,-90,64,
01-Jan-16,13,23385,23357,25617,25583,21304,872,4013,0,9063,0,1616,1612,1752,861,-16,91,1740,863,-13,92,
01-Jan-16,14,23770,23718,25754,25735,21674,884,4013,0,9063,0,1361,1348,1700,879,-23,150,1652,882,-24,153,
01-Jan-16,15,24278,24209,25364,25268,22110,935,4013,0,9063,0,486,457,345,819,14,244,306,819,13,248,
01-Jan-16,16,24397,24343,25163,25098,22238,986,4013,0,9063,0,166,154,186,800,11,287,218,799,14,286,
01-Jan-16,17,24860,24842,25473,25457,22698,1050,4013,67,9063,0,13,15,979,774,60,287,965,778,62,286,
01-Jan-16,18,25718,25665,26330,26282,23560,1114,4013,165,9063,0,12,13,942,787,113,287,966,793,115,286,
01-Jan-16,19,27104,26946,27716,27560,24829,1191,4013,330,9063,0,12,14,1978,984,38,287,1969,988,31,286,
01-Jan-16,20,28155,28106,28767,28721,25825,1267,4013,462,9063,0,12,15,1997,961,47,286,1977,965,54,285,
01-Jan-16,21,29329,29361,29941,29977,26870,1351,4013,571,9063,0,12,16,1996,967,163,246,1977,968,162,243,
01-Jan-16,22,30352,30384,30964,30999,27716,1434,4013,673,9063,0,12,15,1996,965,116,112,1977,966,116,106,
01-Jan-16,23,31273,31329,31885,31944,28493,1507,4013,700,9063,0,12,15,1996,976,40,31,1977,981,31,31,
01-Jan-16,24,32006,32060,32682,32740,29123,1579,4013,695,9063,0,12,15,1996,1002,-64,19,1977,1004,-64,17,
01-Jan-16,25,32812,32854,33538,33591,29862,1654,4013,667,9063,0,11,13,1996,1018,-53,-62,1977,1021,-54,-66,
01-Jan-16,26,33131,33168,33987,34033,30110,1729,4013,605,9063,0,12,15,1996,986,-103,-141,1977,986,-104,-144,
01-Jan-16,27,33141,33175,34057,34097,30106,1812,4013,499,9063,0,12,16,1996,964,-110,-194,1977,969,-110,-195,
01-Jan-16,28,33062,33105,33918,33962,30050,1895,4013,378,9063,0,12,15,1997,987,-85,-159,1977,988,-82,-157,
01-Jan-16,29,33142,33235,33910,34003,30191,1944,4013,258,9063,0,10,13,1996,991,-8,-150,1977,993,-3,-150,
01-Jan-16,30,33167,33227,33894,33957,30260,1992,4013,150,9063,0,6,10,1996,997,68,-121,1977,1001,70,-119,
01-Jan-16,31,33537,33615,34249,34333,30639,2038,4013,75,9063,0,6,10,1996,979,96,-106,1977,981,97,-106,
01-Jan-16,32,34149,34324,34866,35046,31265,2084,4013,22,9063,0,11,14,1996,984,95,-106,1977,984,94,-106,
01-Jan-16,33,35855,36034,36600,36790,32825,2140,4013,0,9063,0,14,15,1996,957,-25,-106,1977,957,-32,-106,
01-Jan-16,34,37102,37256,37940,38097,34056,2195,4013,0,9063,0,14,17,1997,1000,-118,-106,1977,1004,-117,-107,
01-Jan-16,35,37511,37626,38361,38478,34507,2249,4013,0,9063,0,13,9,1996,997,-76,-161,1977,999,-73,-166,
01-Jan-16,36,37192,37318,38134,38261,34270,2302,4013,0,9063,0,10,10,1996,1004,-60,-272,1977,1005,-62,-273,
01-Jan-16,37,36410,36553,37470,37613,33609,2229,4013,0,9063,0,15,18,1997,996,-176,-269,1977,999,-178,-269,
01-Jan-16,38,35456,35488,36465,36494,32693,2156,4013,0,9063,0,15,18,1996,1010,-151,-243,1977,1010,-145,-243,
01-Jan-16,39,34535,34603,35461,35525,31874,2193,4013,0,9063,0,9,4,1996,1005,-55,-262,1977,1008,-50,-263,
01-Jan-16,40,33443,33520,34314,34392,30862,2230,4013,0,9063,0,8,4,1996,992,57,-263,1977,993,63,-263,
01-Jan-16,41,32518,32603,33322,33401,29965,2245,4013,0,9063,0,9,6,1996,998,84,-195,1977,999,85,-190,
01-Jan-16,42,31458,31508,32218,32273,29031,2259,4013,0,9063,0,6,7,1996,1014,131,-154,1977,1017,134,-155,
01-Jan-16,43,30331,30379,31025,31068,27995,2380,4013,0,9063,0,12,8,1995,999,129,-82,1977,1001,129,-78,
01-Jan-16,44,29246,29073,29892,29728,27010,2501,4013,0,9063,0,11,14,1996,1004,146,-35,1977,1006,147,-39,
01-Jan-16,45,27737,27671,28453,28393,25589,2498,4013,0,9063,0,10,14,1996,987,190,-106,1977,988,190,-107,
01-Jan-16,46,26599,26547,27263,27207,24492,2494,4013,0,9063,0,12,14,1996,1005,147,-52,1977,1009,144,-46,
01-Jan-16,47,25193,25140,25806,25753,23122,2476,4013,0,9063,0,13,8,1497,741,69,28,1461,726,66,25,
01-Jan-16,48,24103,24074,24807,24791,22063,2458,4013,0,9063,0,11,17,1474,707,39,-93,1463,706,38,-98,
02-Jan-16,1,23647,23711,24366,24582,21709,2457,4013,0,9069,0,13,171,1476,709,33,-106,1462,708,32,-100,
02-Jan-16,2,23834,23879,24536,24688,21927,2455,4013,0,9069,0,71,235,1476,719,104,-31,1462,721,107,-34,
02-Jan-16,3,23417,23394,24877,25032,21576,2438,4013,0,9069,0,761,942,1476,700,125,-99,1463,698,124,-99,
02-Jan-16,4,22628,22550,24452,24530,20879,2420,4013,0,9069,0,1135,1289,1476,718,124,-89,1463,718,124,-90,
02-Jan-16,5,21874,21894,23941,24162,20202,2385,4013,0,9069,0,1348,1511,1476,730,94,-119,1462,727,89,-119,
02-Jan-16,6,21454,21423,23637,24003,19784,2350,4013,0,9069,0,1421,1807,1475,707,-43,-119,1462,709,-49,-120,
02-Jan-16,7,20878,20808,23479,23920,19193,2313,4013,0,9069,0,1731,2242,1477,720,-132,-138,1463,718,-132,-138,
02-Jan-16,8,20316,20247,22980,23431,18642,2276,4013,0,9069,0,1793,2312,1476,715,-133,-138,1462,716,-132,-138,
02-Jan-16,9,19949,19931,22589,23085,18336,2237,4013,0,9069,0,1769,2414,1476,748,-133,-138,1463,747,-132,-138,
02-Jan-16,10,19916,19904,22519,23019,18323,2197,4013,0,9069,0,1759,2425,1476,739,-133,-111,1462,740,-132,-110,
02-Jan-16,11,20109,20092,22698,23197,18521,2171,4013,0,9069,0,1754,2424,1477,721,-129,-106,1463,716,-127,-106,
02-Jan-16,12,20601,20496,22885,23291,18961,2144,4013,0,9069,0,1469,2108,1476,721,-127,-88,1462,722,-127,-87,
02-Jan-16,13,21693,21658,22870,23302,20005,2088,4013,0,9069,0,447,1077,1476,738,-54,-76,1463,739,-46,-74,
02-Jan-16,14,22659,22613,23296,23759,20930,2032,4013,0,9069,0,15,675,1476,744,26,-22,1463,746,22,-24,
02-Jan-16,15,23953,23988,24718,25124,22125,1997,4013,0,9069,0,14,610,1476,707,-64,-87,1462,704,-67,-88,
02-Jan-16,16,24938,25009,25756,25858,23074,1962,4013,0,9069,0,14,320,1476,675,-114,-90,1463,673,-114,-90,
02-Jan-16,17,26416,26474,27266,27327,24414,1929,4013,73,9069,0,14,242,1477,720,-140,-96,1462,720,-139,-94,
02-Jan-16,18,27999,28049,28739,28790,25946,1896,4013,64,9069,0,14,17,1457,757,-101,-25,1461,766,-97,-25,
02-Jan-16,19,29822,29825,30519,30523,27562,1863,4013,143,9069,0,11,14,1986,967,-19,-67,1972,970,-15,-67,
02-Jan-16,20,31083,31044,31755,31718,28698,1829,4013,234,9069,0,9,13,1996,968,42,-63,1977,970,42,-61,
02-Jan-16,21,32195,32107,32856,32778,29630,1790,4013,338,9069,0,7,10,1996,970,-51,-3,1977,974,-53,-8,
02-Jan-16,22,33003,32875,33718,33598,30277,1750,4013,409,9069,0,6,10,1996,981,-76,-33,1977,982,-80,-33,
02-Jan-16,23,33628,33514,34435,34327,30802,1686,4013,418,9069,0,6,10,1996,1009,-145,-56,1977,1013,-144,-59,
02-Jan-16,24,34064,33933,34916,34790,31123,1621,4013,483,9069,0,6,8,1996,1040,-145,-101,1977,1043,-144,-103,
02-Jan-16,25,34606,34466,35512,35375,31594,1586,4013,499,9069,0,8,9,1996,1008,-145,-153,1977,1009,-144,-154,
02-Jan-16,26,34725,34568,35568,35409,31693,1550,4013,472,9069,0,10,14,1996,1008,-145,-88,1977,1010,-144,-84,
02-Jan-16,27,34705,34545,35508,35352,31676,1536,4013,439,9069,0,9,14,1996,996,-142,-52,1977,998,-139,-52,
02-Jan-16,28,34668,34546,35357,35231,31602,1521,4013,365,9069,0,9,13,1996,971,-78,-2,1977,976,-73,0,
02-Jan-16,29,34690,34600,35367,35287,31638,1499,4013,292,9069,0,7,10,1996,995,-44,-26,1977,996,-44,-29,
02-Jan-16,30,34664,34583,35372,35301,31635,1477,4013,191,9069,0,6,12,1996,1002,18,-102,1977,1003,23,-105,
02-Jan-16,31,34942,34911,35734,35711,31886,1475,4013,115,9069,0,6,12,1996,1018,48,-186,1977,1020,46,-187,
02-Jan-16,32,35737,35735,36587,36599,32639,1472,4013,58,9069,0,8,14,1996,989,-65,-177,1977,990,-71,-177,
02-Jan-16,33,37553,37541,38429,38412,34296,1461,4013,0,9069,0,12,17,1996,864,-155,-109,1977,860,-155,-104,
02-Jan-16,34,39579,39498,40396,40319,36168,1449,4013,0,9069,0,10,12,1997,872,-157,-50,1977,876,-155,-53,
02-Jan-16,35,40824,40691,41825,41705,37317,1464,4013,0,9069,0,4,7,1996,997,-212,-185,1977,1002,-214,-190,
02-Jan-16,36,40880,40705,42055,41891,37417,1478,4013,0,9069,0,4,7,1996,1002,-237,-334,1977,1004,-237,-340,
02-Jan-16,37,40366,40157,41645,41438,36990,1447,4013,0,9069,0,6,7,1996,1016,-245,-428,1977,1020,-244,-428,
02-Jan-16,38,39414,39219,40719,40520,36087,1415,4013,0,9069,0,8,3,1997,1012,-239,-458,1977,1014,-237,-458,
02-Jan-16,39,38303,38081,39489,39256,35097,1427,4013,0,9069,0,11,10,1996,964,-220,-355,1977,967,-215,-349,
02-Jan-16,40,36984,36757,37891,37657,33900,1438,4013,0,9069,0,7,12,1996,984,-95,-205,1977,988,-90,-200,
02-Jan-16,41,35874,35612,36643,36386,32819,1438,4013,0,9069,0,6,12,1996,999,-48,-115,1977,998,-47,-115,
02-Jan-16,42,34488,34215,35280,35018,31615,1437,4013,0,9069,0,6,12,1996,1002,-47,-139,1977,1008,-47,-143,
02-Jan-16,43,33382,33158,34250,34034,30588,1432,4013,0,9069,0,6,12,1996,1016,-47,-215,1977,1016,-47,-216,
02-Jan-16,44,31922,31659,32856,32604,29268,1426,4013,0,9069,0,6,12,1996,999,-79,-249,1977,1000,-83,-249,
02-Jan-16,45,30643,30416,31566,31339,28078,1422,4013,0,9069,0,6,11,1996,1000,-148,-169,1977,1000,-147,-166,
02-Jan-16,46,29523,29322,30345,30139,26941,1417,4013,0,9069,0,10,10,1996,999,-76,-136,1977,999,-71,-136,
02-Jan-16,47,27957,27775,28674,28486,25495,1422,4013,0,9069,0,15,10,1517,771,-21,-81,1481,760,-22,-78,
02-Jan-16,48,26905,26746,27631,27475,24562,1427,4013,0,9069,0,13,13,1493,733,-67,-46,1482,732,-70,-46,
03-Jan-16,1,26334,26211,27075,26952,24127,1410,4013,0,9075,0,12,14,1494,713,-129,2,1482,713,-127,4,
03-Jan-16,2,26219,26143,26909,26842,24165,1393,4013,0,9075,0,22,126,1494,741,-52,-16,1482,741,-45,-16,
03-Jan-16,3,25618,25473,26865,26745,23673,1396,4013,0,9075,0,647,923,1494,751,94,9,1483,750,95,12,
03-Jan-16,4,24681,24471,26206,26020,22881,1399,4013,0,9075,0,902,1171,1494,715,-23,45,1483,715,-30,45,
03-Jan-16,5,23780,23638,25819,25679,22081,1430,4013,0,9075,0,1400,1710,1495,725,-39,45,1482,722,-33,46,
03-Jan-16,6,23250,23079,25259,25089,21578,1460,4013,0,9075,0,1409,1869,1494,710,64,45,1482,710,63,46,
03-Jan-16,7,22539,22344,24554,24360,20874,1506,4013,0,9075,0,1400,1989,1495,729,-15,45,1482,728,-16,46,
03-Jan-16,8,21798,21614,24042,23853,20157,1551,4013,0,9075,0,1644,2317,1495,741,45,45,1482,742,48,46,
03-Jan-16,9,21377,21174,23591,23364,19815,1579,4013,0,9075,0,1614,2283,1495,684,45,106,1482,682,40,110,
03-Jan-16,10,21070,20912,23162,23120,19556,1606,4013,0,9075,0,1436,2094,1495,768,-56,210,1482,771,-60,215,
03-Jan-16,11,21150,20990,23309,23298,19602,1627,4013,0,9075,0,1501,2168,1495,736,-58,285,1482,732,-52,285,
03-Jan-16,12,21327,21232,23424,23509,19756,1648,4013,0,9075,0,1497,2162,1495,732,23,285,1483,734,23,285,
03-Jan-16,13,22032,21988,24260,24325,20400,1657,4013,0,9075,0,1628,2286,1495,756,91,285,1482,755,96,286,
03-Jan-16,14,22499,22436,24497,24435,20856,1666,4013,0,9075,0,1398,2055,1495,760,188,276,1482,761,190,274,
03-Jan-16,15,23337,23333,24550,24498,21620,1691,4013,0,9075,0,613,1230,1496,721,199,226,1482,718,198,226,
03-Jan-16,16,23970,24009,24583,24623,22268,1715,4013,0,9075,0,13,530,1496,726,199,196,1482,728,198,192,
03-Jan-16,17,25145,25221,25757,25833,23334,1750,4013,67,9075,0,12,251,1496,740,197,124,1482,739,195,124,
03-Jan-16,18,26543,26624,27154,27235,24652,1785,4013,49,9075,0,11,12,1479,728,169,124,1483,732,168,124,
03-Jan-16,19,28424,28575,29034,29187,26440,1809,4013,102,9075,0,10,12,1987,977,169,126,1971,984,168,125,
03-Jan-16,20,30040,30302,30655,30920,27973,1832,4013,152,9075,0,15,14,1996,1001,179,92,1977,1006,179,92,
03-Jan-16,21,31841,32027,32451,32637,29601,1873,4013,200,9075,0,10,9,1996,1004,180,142,1977,1005,179,146,
03-Jan-16,22,33134,33211,33745,33822,30747,1913,4013,243,9075,0,11,8,1996,993,172,173,1977,994,169,171,
03-Jan-16,23,34044,34140,34658,34756,31519,1927,4013,293,9075,0,14,15,1996,969,127,113,1977,973,126,112,
03-Jan-16,24,34890,34966,35504,35581,32223,1940,4013,313,9075,0,14,16,1996,985,168,142,1977,983,170,143,
03-Jan-16,25,35618,35700,36232,36312,32871,1974,4013,347,9075,0,14,9,1996,1009,174,178,1977,1014,171,177,
03-Jan-16,26,36121,36154,36729,36765,33281,2008,4013,393,9075,0,8,7,1996,1016,128,95,1977,1018,125,91,
03-Jan-16,27,36287,36274,36890,36879,33407,2020,4013,430,9075,0,3,3,1996,992,99,23,1977,994,99,23,
03-Jan-16,28,36175,36103,36796,36729,33283,2032,4013,427,9075,0,13,9,1996,975,115,-8,1977,978,113,-13,
03-Jan-16,29,36204,36103,36898,36800,33320,2027,4013,427,9075,0,13,14,1997,1015,62,-81,1977,1017,61,-82,
03-Jan-16,30,36091,36015,36777,36704,33211,2021,4013,345,9075,0,12,14,1996,976,62,-74,1977,975,61,-74,
03-Jan-16,31,36393,36342,37112,37064,33456,1985,4013,229,9075,0,12,14,1995,952,88,-107,1977,955,90,-107,
03-Jan-16,32,37227,37168,37948,37891,34213,1949,4013,141,9075,0,12,14,1996,1007,93,-109,1977,1012,93,-109,
03-Jan-16,33,38940,38924,39654,39640,35748,1891,4013,0,9075,0,13,15,1996,985,75,-101,1977,986,72,-100,
03-Jan-16,34,40947,40901,41597,41552,37649,1832,4013,0,9075,0,16,14,1996,1032,16,-34,1977,1034,14,-34,
03-Jan-16,35,41764,41664,42532,42435,38431,1798,4013,0,9075,0,15,8,1996,1000,-51,-102,1977,1002,-55,-105,
03-Jan-16,36,41436,41313,42341,42222,38165,1764,4013,0,9075,0,17,18,1996,997,-116,-172,1977,997,-117,-174,
03-Jan-16,37,41005,40887,42045,41932,37796,1731,4013,0,9075,0,13,14,1996,1034,-187,-240,1977,1037,-188,-241,
03-Jan-16,38,40216,40063,41174,41018,37024,1698,4013,0,9075,0,6,8,1997,1013,-147,-205,1977,1012,-142,-203,
