SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Jun-16,1,22351,22131,23543,23365,20128,1396,4260,0,10500,0,692,785,1698,818,170,284,1680,820,173,284,
01-Jun-16,2,21549,21346,22977,22781,19404,1346,4260,0,10500,0,928,1129,1699,827,198,216,1680,828,197,211,
01-Jun-16,3,21283,21098,22918,22741,19204,1348,4260,0,10500,0,1135,1421,1699,826,198,95,1680,828,197,93,
01-Jun-16,4,21256,21050,22781,22567,19218,1349,4260,0,10500,0,1025,1296,1699,801,198,84,1680,800,197,85,
01-Jun-16,5,20826,20613,22588,22393,18825,1361,4260,0,10500,0,1262,1561,1699,782,198,84,1680,784,197,85,
01-Jun-16,6,20514,20323,22320,22249,18517,1373,4260,0,10500,0,1306,1626,1704,797,198,84,1680,795,197,85,
01-Jun-16,7,20311,20115,22314,22270,18290,1373,4260,0,10500,0,1503,1874,1312,789,198,84,1289,790,197,85,
01-Jun-16,8,20164,19947,22168,22101,18098,1372,4260,0,10500,0,1504,1932,1303,797,144,84,1289,796,138,85,
01-Jun-16,9,19994,19774,22068,22006,17960,1369,4260,0,10500,0,1574,2008,1304,813,91,84,1290,817,90,85,
01-Jun-16,10,19853,19667,21984,21892,17870,1365,4260,0,10500,0,1631,2048,1304,822,78,85,1290,822,75,85,
01-Jun-16,11,20289,20130,22307,22154,18257,1372,4260,50,10500,0,1518,1863,1304,793,113,100,1290,791,119,103,
01-Jun-16,12,21178,21022,23104,22928,19057,1379,4260,90,10500,0,1426,1663,1298,795,196,227,1290,796,196,232,
01-Jun-16,13,23439,23406,24334,24236,21122,1384,4260,152,10500,0,395,436,1689,828,197,284,1681,834,196,284,
01-Jun-16,14,25791,25636,26305,26149,23262,1388,4260,243,10500,0,14,13,1698,808,197,280,1680,797,196,278,
01-Jun-16,15,28547,28369,29059,28883,25720,1402,4260,360,10500,0,12,11,1771,232,197,171,1753,219,196,166,
01-Jun-16,16,30514,30323,31026,30849,27496,1415,4260,501,10500,0,12,9,1767,230,158,23,1754,248,152,16,
01-Jun-16,17,32509,32281,33148,32930,29373,1455,4260,664,10500,0,11,14,1993,982,9,-128,1973,1000,5,-134,
01-Jun-16,18,33264,33148,34085,33980,30145,1494,4260,854,10500,0,11,13,1996,1018,-32,-278,1973,1018,-31,-283,
01-Jun-16,19,33862,33877,34728,34747,30740,1523,4260,1060,10500,0,12,13,1996,1001,56,-354,1973,1002,60,-356,
