SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Oct-16,1,23854,23389,25795,25329,21434,409,4649,0,11433,0,1441,1595,1116,972,297,0,1182,970,297,0,
01-Oct-16,2,22995,22568,24933,24510,20628,392,4649,0,11433,0,1438,1596,1201,940,297,0,1178,940,297,0,
01-Oct-16,3,22411,22060,24287,23919,20145,382,4649,0,11433,0,1376,1514,552,953,297,0,487,960,297,0,
01-Oct-16,4,22231,21895,24097,23782,20032,371,4649,0,11433,0,1366,1540,447,982,297,0,493,982,297,0,
01-Oct-16,5,21820,21456,23731,23374,19668,348,4649,0,11433,0,1411,1572,1441,944,297,0,1455,946,297,0,
01-Oct-16,6,21474,21065,23513,23114,19339,324,4649,0,11433,0,1539,1703,1484,944,297,0,1454,946,297,0,
01-Oct-16,7,21118,20759,23156,22803,18963,313,4649,0,11433,0,1538,1698,573,946,297,0,511,946,297,0,
01-Oct-16,8,20916,20567,23011,22669,18715,302,4649,0,11433,0,1595,1756,501,953,297,0,513,957,297,0,
01-Oct-16,9,20844,20493,22938,22590,18619,284,4649,0,11433,0,1594,1752,773,939,293,0,771,942,289,0,
01-Oct-16,10,20854,20500,22932,22581,18643,265,4649,0,11433,0,1578,1734,779,959,228,0,771,962,227,0,
01-Oct-16,11,21157,20844,23229,22918,18940,270,4649,0,11433,0,1572,1728,866,952,252,0,863,952,255,0,
01-Oct-16,12,21676,21361,23545,23217,19415,275,4649,0,11433,0,1369,1510,873,941,280,0,863,944,277,0,
01-Oct-16,13,23003,22696,24844,24541,20640,286,4649,0,11433,0,1341,1499,953,939,233,0,950,943,232,0,
01-Oct-16,14,24320,23965,25682,25257,21846,297,4649,0,11433,0,862,944,962,964,216,0,950,963,215,0,
01-Oct-16,15,25681,25423,26208,25939,23081,317,4649,47,11433,0,27,166,326,868,218,0,265,867,209,0,
01-Oct-16,16,27108,26962,27617,27481,24396,337,4649,315,11433,0,9,14,214,880,80,0,268,885,79,0,
01-Oct-16,17,28863,28698,29372,29212,25974,356,4649,784,11433,0,9,14,1426,988,104,0,1451,996,106,0,
01-Oct-16,18,29789,29613,30298,30127,26772,375,4649,1200,11433,1,9,12,1493,1006,223,0,1479,1010,236,0,
01-Oct-16,19,30661,30481,31168,30993,27534,403,4649,1480,11433,67,7,12,1492,1005,297,0,1479,1006,297,0,
01-Oct-16,20,30757,30516,31264,31026,27599,431,4649,1720,11433,95,7,8,1493,985,297,0,1479,988,294,0,
01-Oct-16,21,30764,30532,31273,31040,27582,454,4649,2060,11433,95,9,8,1492,1013,260,0,1479,1013,256,0,
01-Oct-16,22,30545,30264,31053,30776,27393,476,4649,2360,11433,70,8,12,1492,989,202,0,1479,990,201,0,
01-Oct-16,23,30503,30243,31011,30753,27384,491,4649,2640,11433,0,8,10,1492,1008,222,0,1479,1012,223,0,
01-Oct-16,24,30470,30161,30979,30675,27368,505,4649,2700,11433,0,9,10,1493,1010,214,0,1479,1008,213,0,
01-Oct-16,25,30232,29970,30741,30484,27186,509,4649,2970,11433,0,9,11,1491,999,208,0,1478,1000,208,0,
01-Oct-16,26,30054,29789,30558,30298,27120,513,4649,3020,11433,0,4,6,1492,1019,50,0,1479,1022,26,0,
01-Oct-16,27,29578,29377,30224,30024,26738,544,4649,3180,11433,0,4,6,1492,990,-142,0,1478,989,-141,0,
01-Oct-16,28,29149,28922,29797,29571,26354,574,4649,3200,11433,0,5,8,1492,988,-143,0,1479,989,-141,0,
01-Oct-16,29,28794,28524,29442,29173,26040,606,4649,3200,11433,0,5,8,1492,987,-143,0,1479,992,-141,0,
01-Oct-16,30,28592,28283,29224,28915,25847,638,4649,3140,11433,0,5,8,1492,1000,-127,0,1478,1000,-125,0,
01-Oct-16,31,28658,28391,29305,29040,25909,647,4649,2870,11433,0,5,8,1492,988,-142,0,1479,988,-141,0,
01-Oct-16,32,28750,28521,29397,29170,26008,655,4649,2420,11433,0,5,8,1492,954,-142,0,1478,958,-141,0,
01-Oct-16,33,29336,29179,29877,29716,26525,664,4649,1910,11433,0,5,8,1492,969,-36,0,1479,972,-31,0,
01-Oct-16,34,30459,30317,31029,30889,27560,673,4649,1360,11433,30,5,8,1492,994,-65,0,1479,998,-64,0,
01-Oct-16,35,31838,31655,32344,32163,28823,658,4649,1020,11433,64,6,8,1492,1009,84,0,1478,1012,100,0,
01-Oct-16,36,32848,32595,33355,33105,29765,642,4649,513,11433,159,7,10,1492,997,147,0,1479,1000,146,0,
01-Oct-16,37,33490,33241,34001,33751,30379,642,4649,203,11433,259,11,10,1492,1007,159,0,1479,1008,160,0,
01-Oct-16,38,34107,33894,34615,34402,30923,642,4649,0,11433,327,8,8,1492,997,169,0,1478,998,169,0,
01-Oct-16,39,35078,34772,35582,35279,31806,631,4649,0,11433,154,4,6,1492,969,256,0,1479,966,265,0,
01-Oct-16,40,34523,34137,35031,34644,31271,619,4649,0,11433,0,8,7,1492,982,295,0,1478,989,291,0,
01-Oct-16,41,33572,33193,34078,33696,30400,605,4649,0,11433,0,6,0,1492,1029,171,0,1479,1030,155,0,
01-Oct-16,42,32541,32069,33049,32581,29473,591,4649,0,11433,0,8,8,1492,1004,16,0,1479,1004,16,0,
01-Oct-16,43,31342,30874,31850,31388,28378,590,4649,0,11433,0,8,12,1492,985,91,0,1479,984,97,0,
01-Oct-16,44,29985,29504,30494,30018,27156,589,4649,0,11433,0,9,14,1492,994,39,0,1479,1001,22,0,
01-Oct-16,45,28659,28241,29314,28902,25923,598,4649,0,11433,0,8,123,1491,1002,-147,0,1479,1000,-146,0,
01-Oct-16,46,27130,26732,27700,27298,24489,607,4649,0,11433,0,9,170,1493,997,-61,0,1479,999,-51,0,
01-Oct-16,47,25491,25082,26007,25605,22965,611,4649,0,11433,0,16,179,1444,931,112,0,1429,925,123,0,
01-Oct-16,48,23949,23590,24777,24409,21534,615,4649,0,11433,0,328,526,1441,927,104,0,1429,930,91,0,
02-Oct-16,1,22687,22339,24226,24020,20377,578,4649,0,11433,0,861,1151,1441,924,-178,0,1429,928,-194,0,
02-Oct-16,2,21679,21371,23606,23453,19439,541,4649,0,11433,0,1203,1519,1441,916,-224,0,1429,922,-219,0,
02-Oct-16,3,21180,20895,23339,23309,19027,548,4649,0,11433,0,1424,1835,1441,949,-235,0,1429,950,-235,0,
02-Oct-16,4,21021,20763,23094,23094,18934,555,4649,0,11433,0,1418,1836,1441,937,-155,0,1429,939,-151,0,
02-Oct-16,5,20553,20271,22813,22794,18510,570,4649,0,11433,0,1542,1963,1441,956,-218,0,1429,958,-217,0,
02-Oct-16,6,20116,19835,22386,22374,18070,585,4649,0,11433,0,1556,1977,1456,934,-214,0,1429,934,-216,0,
02-Oct-16,7,19795,19526,22190,22144,17732,586,4649,0,11433,0,1609,2023,883,810,-286,0,844,798,-283,0,
02-Oct-16,8,19547,19275,21875,21816,17449,586,4649,0,11433,0,1602,2016,853,789,-226,0,845,789,-223,0,
02-Oct-16,9,19433,19162,21734,21720,17341,569,4649,0,11433,0,1589,2004,672,599,-212,0,649,582,-210,0,
02-Oct-16,10,19255,18985,21520,21505,17175,551,4649,0,11433,0,1581,1995,657,578,-184,0,649,583,-180,0,
02-Oct-16,11,19373,19140,21524,21540,17268,550,4649,0,11433,0,1504,1912,387,909,-147,0,355,940,-143,0,
02-Oct-16,12,19630,19429,21693,21749,17498,549,4649,0,11433,0,1482,1895,322,957,-81,0,358,955,-70,0,
02-Oct-16,13,20570,20365,22548,22596,18371,549,4649,0,11433,0,1478,1886,946,939,115,0,943,944,119,0,
02-Oct-16,14,21429,21206,23307,23326,19162,549,4649,0,11433,0,1378,1775,953,959,67,0,943,960,62,0,
02-Oct-16,15,22300,22114,23674,23557,19973,551,4649,35,11433,0,874,1097,954,933,16,0,943,940,10,0,
02-Oct-16,16,23553,23384,24269,24069,21140,553,4649,351,11433,0,150,267,929,962,-66,0,944,963,-68,0,
02-Oct-16,17,24858,24671,25367,25184,22313,569,4649,933,11433,0,6,85,1478,984,-3,0,1479,986,5,0,
02-Oct-16,18,25632,25409,26137,25917,22973,585,4649,1600,11433,0,5,8,1492,986,39,0,1479,989,41,0,
02-Oct-16,19,26281,26022,26786,26530,23496,596,4649,2420,11433,0,5,8,1492,1003,89,0,1479,1007,92,0,
02-Oct-16,20,26383,26093,26888,26601,23508,607,4649,3350,11433,0,5,8,1491,998,153,0,1479,998,157,0,
02-Oct-16,21,26487,26195,26992,26703,23520,614,4649,4250,11433,0,5,8,1491,1000,163,0,1479,1000,158,0,
02-Oct-16,22,26287,25969,26792,26477,23316,621,4649,4910,11433,0,5,8,1492,1000,78,0,1479,1000,76,0,
02-Oct-16,23,26120,25837,26625,26345,23161,624,4649,5450,11433,0,5,8,1491,1000,96,0,1479,1001,89,0,
02-Oct-16,24,26114,25834,26661,26390,23166,627,4649,5720,11433,0,5,8,1491,1000,-42,0,1479,1000,-47,0,
02-Oct-16,25,26384,26109,27001,26726,23446,618,4649,5820,11433,0,4,4,1491,1000,-113,0,1479,1000,-112,0,
02-Oct-16,26,26352,26041,26982,26673,23460,609,4649,5880,11433,0,5,8,1492,999,-125,0,1479,1000,-124,0,
02-Oct-16,27,26141,25843,26690,26386,23309,598,4649,5810,11433,0,5,8,1491,1000,-44,0,1479,1001,-36,0,
02-Oct-16,28,25808,25529,26313,26037,23018,587,4649,5470,11433,0,5,8,1492,1000,49,0,1479,1000,54,0,
02-Oct-16,29,25862,25607,26367,26116,23089,579,4649,5230,11433,0,5,9,1492,999,149,0,1478,1000,158,0,
02-Oct-16,30,25960,25700,26464,26206,23192,570,4649,4870,11433,0,4,6,1492,1000,186,0,1479,1001,185,0,
02-Oct-16,31,26403,26168,26908,26676,23596,570,4649,4330,11433,0,5,8,1492,999,260,0,1478,1000,262,0,
02-Oct-16,32,27064,26942,27569,27451,24252,570,4649,3960,11433,0,5,8,1494,1000,205,0,1478,1000,204,0,
