GENERATOR,FIXED O_M,VARIABLE O_M,CAPITAL COST,LIFETIME,WACC,FIXED_COST OPS,START UP HEAT,FIXED COST START,NO LOAD HEAT,INCREMENTAL HEAT RATE,FIXED COST SHUT,FUEL COST
Biomass,22,2.2,608,30,10,86,1105,10325,759,6400,10325,7.023
CCGT,22,2.2,608,30,10,86,1105,10325,759,6400,10325,7.023
Coal,56.9,2.4,2200,30,10,290,2102,1722,266,8800,1722,4.469
Diesel,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Gas,14,5.85,415,30,10,58,134,3321,137,9700,3321,7.023
Gas oil,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Hydro,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Light oil,42,6.31,990,30,10,147,0,142,33,11000,142,15.807
Nuclear,72,2,4067,30,10,503,0,0,4756,10400,0,0.41
OCGT,14,5.85,415,30,10,58,134,3321,137,9700,3321,7.023
Pumped storage,10,10,500,30,10,20,30,0,0,0,10,0
Battery,10,10,500,30,10,20,30,0,0,0,10,0
