REF,TYPE,AGE,TOTAL UK CAPACITY,MINIMUM OUTPUT,MAXIMUM OUTPUT,MAX RAMP UP,MAX RAMP DOWN,MAX START UP RAMP,MAX SHUT DOWN RAMP,INITIAL STATUS,PRIOR STATUS UP,PRIOR STATUS DOWN,PRIOR UP TIME,PRIOR DOWN TIME,MIN UP TIME,MIN DOWN TIME,STORAGE CAPACITY,MAX STORAGE HOURS,BATT EFFICIENCY,,
1,Biomass,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
2,Biomass,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
3,Biomass,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
4,Biomass,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
5,Biomass,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
6,Biomass,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
7,Biomass,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
8,Biomass,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
9,Biomass,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
10,Biomass / gas / waste derived fuel,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
11,CCGT,2003,616,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,`
12,CCGT,2010,850,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
13,CCGT,2002,520,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
14,CCGT,1999,819,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
15,CCGT,1998,235,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
16,CCGT,1993,150,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
17,CCGT,1994,0,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
18,CCGT,2010,905,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
19,CCGT,1993,240,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
20,CCGT,1996,1310,0.3,1,1,1,0,0,1,1,0,8,0,6,12,0,0,0.7,,
